date,wp1,u,v,ws,wd
2009-07-03 13:00:00,0.13,3.73,-2.93,4.74,128.18
2009-07-03 14:00:00,0.095,3.91,-3.58,5.3,132.5
2009-07-03 15:00:00,0.095,4.42,-4.01,5.97,132.24
2009-07-03 16:00:00,0.19,5.13,-4.25,6.66,129.64
2009-07-03 17:00:00,0.221,5.85,-4.29,7.26,126.24
2009-07-03 18:00:00,0.226,6.4,-4.14,7.62,122.86
2009-07-03 19:00:00,0.301,6.65,-3.81,7.67,119.83
2009-07-03 20:00:00,0.42100000000000004,6.68,-3.44,7.52,117.26
2009-07-03 21:00:00,0.486,6.63,-3.17,7.35,115.55
2009-07-03 22:00:00,0.47600000000000003,6.6,-3.09,7.28,115.09
2009-07-03 23:00:00,0.47600000000000003,6.47,-3.08,7.17,115.46
2009-07-04 00:00:00,0.521,6.12,-2.98,6.81,116.0
2009-07-04 01:00:00,0.47600000000000003,5.46,-2.26,5.91,112.45
2009-07-04 02:00:00,0.501,4.87,-2.29,5.38,115.22
2009-07-04 03:00:00,0.662,4.39,-2.17,4.89,116.34
2009-07-04 04:00:00,0.747,4.0,-1.96,4.45,116.08
2009-07-04 05:00:00,0.622,3.67,-1.73,4.06,115.24
2009-07-04 06:00:00,0.406,3.35,-1.57,3.7,115.13
2009-07-04 07:00:00,0.19,3.02,-1.55,3.4,117.07
2009-07-04 08:00:00,0.11,2.83,-1.66,3.28,120.38
2009-07-04 09:00:00,0.075,2.95,-1.91,3.52,122.89
2009-07-04 10:00:00,0.135,3.49,-2.28,4.17,123.15
2009-07-04 11:00:00,0.11,4.25,-2.73,5.05,122.74
2009-07-04 12:00:00,0.201,4.93,-3.21,5.88,123.03
2009-07-04 13:00:00,0.386,4.9,-4.56,6.7,132.94
2009-07-04 14:00:00,0.461,4.99,-4.55,6.75,132.32
2009-07-04 15:00:00,0.451,4.85,-4.5,6.61,132.85
2009-07-04 16:00:00,0.376,4.56,-4.41,6.34,134.06
2009-07-04 17:00:00,0.266,4.3,-4.32,6.09,135.15
2009-07-04 18:00:00,0.24100000000000002,4.26,-4.26,6.02,135.02
2009-07-04 19:00:00,0.23600000000000002,4.54,-4.24,6.21,133.05
2009-07-04 20:00:00,0.226,4.86,-4.11,6.36,130.23
2009-07-04 21:00:00,0.271,4.83,-3.68,6.07,127.34
2009-07-04 22:00:00,0.271,4.22,-2.87,5.1,124.22
2009-07-04 23:00:00,0.29600000000000004,3.35,-1.92,3.86,119.72
2009-07-05 00:00:00,0.19,2.71,-1.16,2.95,113.22
2009-07-05 01:00:00,0.12,3.52,-1.02,3.66,106.24
2009-07-05 02:00:00,0.195,3.22,-0.85,3.33,104.72
2009-07-05 03:00:00,0.281,3.11,-0.67,3.18,102.23
2009-07-05 04:00:00,0.221,3.12,-0.51,3.17,99.29
2009-07-05 05:00:00,0.14,3.21,-0.38,3.24,96.8
2009-07-05 06:00:00,0.21600000000000003,3.32,-0.32,3.34,95.47
2009-07-05 07:00:00,0.281,3.39,-0.32,3.41,95.41
2009-07-05 08:00:00,0.20600000000000002,3.43,-0.32,3.44,95.31
2009-07-05 09:00:00,0.185,3.43,-0.22,3.43,93.59
2009-07-05 10:00:00,0.24600000000000002,3.41,0.03,3.41,89.44
2009-07-05 11:00:00,0.266,3.4,0.27,3.41,85.52
2009-07-05 12:00:00,0.165,3.44,0.27,3.45,85.48
2009-07-05 13:00:00,0.025,3.53,0.43,3.55,83.01
2009-07-05 14:00:00,0.01,3.94,-0.06,3.94,90.84
2009-07-05 15:00:00,0.0,4.06,-0.56,4.1,97.9
2009-07-05 16:00:00,0.01,3.98,-1.03,4.11,104.57
2009-07-05 17:00:00,0.035,3.85,-1.38,4.09,109.68
2009-07-05 18:00:00,0.03,3.82,-1.48,4.1,111.21
2009-07-05 19:00:00,0.02,3.99,-1.31,4.2,108.12
2009-07-05 20:00:00,0.045,4.17,-1.01,4.29,103.66
2009-07-05 21:00:00,0.07,4.1,-0.83,4.18,101.39
2009-07-05 22:00:00,0.085,3.61,-0.89,3.72,103.82
2009-07-05 23:00:00,0.065,2.97,-1.05,3.14,109.42
2009-07-06 00:00:00,0.015,2.51,-1.06,2.73,112.95
2009-07-06 01:00:00,0.01,2.81,-0.95,2.97,108.7
2009-07-06 02:00:00,0.035,2.79,-0.95,2.94,108.75
2009-07-06 03:00:00,0.09,2.57,-1.23,2.85,115.61
2009-07-06 04:00:00,0.115,2.25,-1.65,2.79,126.18
2009-07-06 05:00:00,0.06,1.98,-1.93,2.77,134.25
2009-07-06 06:00:00,0.05,1.91,-1.79,2.62,133.12
2009-07-06 07:00:00,0.03,2.14,-1.07,2.4,116.54
2009-07-06 08:00:00,0.0,2.54,-0.13,2.54,92.97
2009-07-06 09:00:00,0.0,2.9,0.53,2.94,79.63
2009-07-06 10:00:00,0.04,3.09,0.56,3.14,79.78
2009-07-06 11:00:00,0.04,3.23,0.14,3.23,87.43
2009-07-06 12:00:00,0.09,3.48,-0.38,3.5,96.18
2009-07-06 13:00:00,0.125,4.15,-1.26,4.34,106.87
2009-07-06 14:00:00,0.085,4.79,-1.57,5.05,108.15
2009-07-06 15:00:00,0.055,5.34,-1.82,5.64,108.84
2009-07-06 16:00:00,0.085,5.77,-2.0,6.1,109.15
2009-07-06 17:00:00,0.21100000000000002,6.11,-2.06,6.45,108.67
2009-07-06 18:00:00,0.266,6.4,-1.95,6.69,106.91
2009-07-06 19:00:00,0.185,6.64,-1.64,6.84,103.9
2009-07-06 20:00:00,0.16,6.62,-1.39,6.77,101.89
2009-07-06 21:00:00,0.075,6.12,-1.5,6.3,103.77
2009-07-06 22:00:00,0.175,5.0,-2.12,5.43,112.94
2009-07-06 23:00:00,0.12,3.6,-2.84,4.58,128.26
2009-07-07 00:00:00,0.02,2.35,-3.12,3.91,142.94
2009-07-07 01:00:00,0.05,2.3,-2.16,3.15,133.26
2009-07-07 02:00:00,0.07,1.95,-1.51,2.46,127.73
2009-07-07 03:00:00,0.005,1.8,-1.07,2.1,120.81
2009-07-07 04:00:00,0.0,1.84,-0.82,2.01,113.94
2009-07-07 05:00:00,0.03,2.06,-0.68,2.17,108.21
2009-07-07 06:00:00,0.02,2.47,-0.6,2.54,103.66
2009-07-07 07:00:00,0.075,3.06,-0.54,3.11,100.05
2009-07-07 08:00:00,0.105,3.72,-0.51,3.76,97.82
2009-07-07 09:00:00,0.16,4.35,-0.53,4.39,96.98
2009-07-07 10:00:00,0.18,4.85,-0.64,4.89,97.5
2009-07-07 11:00:00,0.231,5.16,-0.88,5.24,99.69
2009-07-07 12:00:00,0.306,5.29,-1.33,5.45,104.08
2009-07-07 13:00:00,0.28600000000000003,5.62,-1.84,5.91,108.1
2009-07-07 14:00:00,0.24600000000000002,5.95,-2.39,6.41,111.86
2009-07-07 15:00:00,0.306,6.15,-2.74,6.73,114.04
2009-07-07 16:00:00,0.306,6.25,-2.94,6.91,115.21
2009-07-07 17:00:00,0.306,6.3,-3.06,7.0,115.89
2009-07-07 18:00:00,0.316,6.35,-3.16,7.09,116.47
2009-07-07 19:00:00,0.381,6.44,-3.3,7.24,117.13
2009-07-07 20:00:00,0.41100000000000003,6.52,-3.37,7.34,117.36
2009-07-07 21:00:00,0.426,6.51,-3.24,7.27,116.48
2009-07-07 22:00:00,0.391,6.34,-2.82,6.94,113.98
2009-07-07 23:00:00,0.34600000000000003,5.99,-2.23,6.39,110.44
2009-07-08 00:00:00,0.316,5.42,-1.64,5.66,106.88
2009-07-08 01:00:00,0.271,5.45,-1.1,5.56,101.4
2009-07-08 02:00:00,0.276,5.12,-0.82,5.18,99.12
2009-07-08 03:00:00,0.226,4.73,-0.82,4.8,99.83
2009-07-08 04:00:00,0.276,4.3,-1.0,4.42,103.1
2009-07-08 05:00:00,0.21600000000000003,3.87,-1.22,4.05,107.51
2009-07-08 06:00:00,0.145,3.42,-1.31,3.67,110.92
2009-07-08 07:00:00,0.1,3.01,-1.18,3.23,111.4
2009-07-08 08:00:00,0.07,2.7,-1.03,2.89,110.88
2009-07-08 09:00:00,0.06,2.62,-1.15,2.86,113.62
2009-07-08 10:00:00,0.06,2.81,-1.71,3.29,121.35
2009-07-08 11:00:00,0.045,3.03,-2.53,3.95,129.89
2009-07-08 12:00:00,0.045,3.01,-3.34,4.49,137.99
2009-07-08 13:00:00,0.085,2.41,-3.85,4.54,147.94
2009-07-08 14:00:00,0.085,1.95,-4.31,4.73,155.68
2009-07-08 15:00:00,0.08,1.62,-4.47,4.76,160.13
2009-07-08 16:00:00,0.095,1.38,-4.42,4.63,162.64
2009-07-08 17:00:00,0.05,1.2,-4.26,4.43,164.2
2009-07-08 18:00:00,0.035,1.05,-4.1,4.23,165.65
2009-07-08 19:00:00,0.055,0.88,-4.02,4.12,167.72
2009-07-08 20:00:00,0.04,0.63,-3.92,3.97,170.91
2009-07-08 21:00:00,0.035,0.25,-3.66,3.67,176.13
2009-07-08 22:00:00,0.02,-0.27,-3.17,3.18,184.95
2009-07-08 23:00:00,0.025,-0.76,-2.63,2.74,196.08
2009-07-09 00:00:00,0.06,-0.98,-2.32,2.52,202.81
2009-07-09 01:00:00,0.03,-0.29,-2.33,2.35,187.01
2009-07-09 02:00:00,0.045,-0.04,-2.45,2.45,180.91
2009-07-09 03:00:00,0.065,0.1,-2.5,2.5,177.71
2009-07-09 04:00:00,0.075,0.13,-2.45,2.45,177.04
2009-07-09 05:00:00,0.135,0.0,-2.21,2.21,179.99
2009-07-09 06:00:00,0.185,-0.33,-1.68,1.71,190.96
2009-07-09 07:00:00,0.075,-0.86,-0.84,1.2,225.51
2009-07-09 08:00:00,0.005,-1.43,0.1,1.43,273.82
2009-07-09 09:00:00,0.0,-1.82,0.85,2.01,295.0
2009-07-09 10:00:00,0.0,-1.9,1.21,2.26,302.49
2009-07-09 11:00:00,0.03,-1.8,1.25,2.19,304.94
2009-07-09 12:00:00,0.03,-1.69,1.12,2.03,303.42
2009-07-09 13:00:00,0.0,-1.9,0.75,2.04,291.53
2009-07-09 14:00:00,0.0,-2.09,0.77,2.23,290.25
2009-07-09 15:00:00,0.0,-2.3,0.86,2.45,290.6
2009-07-09 16:00:00,0.0,-2.49,1.02,2.7,292.27
2009-07-09 17:00:00,0.0,-2.68,1.29,2.98,295.74
2009-07-09 18:00:00,0.015,-2.85,1.73,3.34,301.27
2009-07-09 19:00:00,0.005,-2.99,2.34,3.8,308.02
2009-07-09 20:00:00,0.025,-3.03,2.88,4.18,313.57
2009-07-09 21:00:00,0.095,-2.88,3.07,4.21,316.81
2009-07-09 22:00:00,0.085,-2.5,2.73,3.7,317.46
2009-07-09 23:00:00,0.13,-2.02,2.16,2.95,316.97
2009-07-10 00:00:00,0.12,-1.58,1.78,2.38,318.43
2009-07-10 01:00:00,0.095,-1.52,2.82,3.2,331.68
2009-07-10 02:00:00,0.095,-1.22,2.9,3.15,337.25
2009-07-10 03:00:00,0.1,-1.0,3.01,3.17,341.64
2009-07-10 04:00:00,0.16,-0.85,3.12,3.23,344.72
2009-07-10 05:00:00,0.19,-0.75,3.19,3.28,346.7
2009-07-10 06:00:00,0.165,-0.69,3.19,3.27,347.89
2009-07-10 07:00:00,0.105,-0.63,3.1,3.17,348.48
2009-07-10 08:00:00,0.09,-0.64,2.99,3.06,347.93
2009-07-10 09:00:00,0.1,-0.76,2.94,3.04,345.5
2009-07-10 10:00:00,0.095,-1.02,3.02,3.19,341.41
2009-07-10 11:00:00,0.11,-1.28,3.17,3.42,338.04
2009-07-10 12:00:00,0.11,-1.39,3.32,3.6,337.28
2009-07-10 13:00:00,0.005,-0.57,3.09,3.14,349.58
2009-07-10 14:00:00,0.0,-0.16,3.26,3.26,357.26
2009-07-10 15:00:00,0.04,0.58,3.55,3.59,9.25
2009-07-10 16:00:00,0.165,1.48,3.89,4.17,20.77
2009-07-10 17:00:00,0.266,2.36,4.26,4.87,28.99
2009-07-10 18:00:00,0.326,3.03,4.59,5.5,33.41
2009-07-10 19:00:00,0.35100000000000003,3.33,4.83,5.87,34.56
2009-07-10 20:00:00,0.361,3.26,4.86,5.85,33.89
2009-07-10 21:00:00,0.311,2.87,4.52,5.36,32.41
2009-07-10 22:00:00,0.306,2.22,3.77,4.38,30.55
2009-07-10 23:00:00,0.29100000000000004,1.53,2.9,3.28,27.85
2009-07-11 00:00:00,0.281,1.03,2.29,2.51,24.18
2009-07-11 01:00:00,0.23600000000000002,1.18,3.35,3.55,19.43
2009-07-11 02:00:00,0.366,1.03,3.24,3.4,17.63
2009-07-11 03:00:00,0.381,1.19,3.19,3.4,20.44
2009-07-11 04:00:00,0.42100000000000004,1.56,3.17,3.54,26.24
2009-07-11 05:00:00,0.48100000000000004,1.98,3.14,3.72,32.2
2009-07-11 06:00:00,0.451,2.25,3.06,3.8,36.29
2009-07-11 07:00:00,0.466,2.27,2.89,3.67,38.12
2009-07-11 08:00:00,0.47600000000000003,2.32,2.63,3.51,41.31
2009-07-11 09:00:00,0.501,2.76,2.31,3.59,50.07
2009-07-11 10:00:00,0.42100000000000004,3.78,1.93,4.25,62.94
2009-07-11 11:00:00,0.251,4.9,1.6,5.15,71.95
2009-07-11 12:00:00,0.19,5.42,1.39,5.6,75.59
2009-07-11 13:00:00,0.226,4.74,0.52,4.76,83.73
2009-07-11 14:00:00,0.18,4.96,-0.16,4.97,91.84
2009-07-11 15:00:00,0.065,5.58,-0.27,5.59,92.8
2009-07-11 16:00:00,0.115,6.4,-0.06,6.4,90.51
2009-07-11 17:00:00,0.306,7.2,0.15,7.2,88.81
2009-07-11 18:00:00,0.47100000000000003,7.74,-0.02,7.74,90.13
2009-07-11 19:00:00,0.596,7.84,-0.8,7.88,95.79
2009-07-11 20:00:00,0.657,7.53,-1.91,7.77,104.22
2009-07-11 21:00:00,0.586,6.9,-2.96,7.51,113.19
2009-07-11 22:00:00,0.5760000000000001,6.06,-3.62,7.06,120.85
2009-07-11 23:00:00,0.627,5.19,-3.89,6.49,126.86
2009-07-12 00:00:00,0.546,4.53,-3.87,5.96,130.49
2009-07-12 01:00:00,0.521,4.62,-3.82,6.0,129.58
2009-07-12 02:00:00,0.35100000000000003,4.61,-3.76,5.95,129.18
2009-07-12 03:00:00,0.536,4.38,-3.46,5.58,128.26
2009-07-12 04:00:00,0.617,4.02,-3.0,5.02,126.75
2009-07-12 05:00:00,0.5660000000000001,3.59,-2.48,4.36,124.69
2009-07-12 06:00:00,0.41100000000000003,3.16,-2.0,3.74,122.32
2009-07-12 07:00:00,0.29100000000000004,2.81,-1.63,3.24,120.09
2009-07-12 08:00:00,0.29100000000000004,2.62,-1.38,2.97,117.8
2009-07-12 09:00:00,0.391,2.71,-1.27,3.0,115.16
2009-07-12 10:00:00,0.446,3.13,-1.29,3.38,112.48
2009-07-12 11:00:00,0.496,3.71,-1.4,3.96,110.63
2009-07-12 12:00:00,0.276,4.26,-1.53,4.52,109.76
2009-07-12 13:00:00,0.075,4.76,-2.09,5.2,113.73
2009-07-12 14:00:00,0.18,5.09,-2.46,5.65,115.81
2009-07-12 15:00:00,0.21100000000000002,5.52,-2.53,6.07,114.64
2009-07-12 16:00:00,0.29600000000000004,5.99,-2.39,6.45,111.76
2009-07-12 17:00:00,0.29100000000000004,6.41,-2.1,6.75,108.17
2009-07-12 18:00:00,0.29600000000000004,6.74,-1.75,6.96,104.57
2009-07-12 19:00:00,0.376,6.87,-1.41,7.02,101.57
2009-07-12 20:00:00,0.401,6.7,-1.19,6.81,100.11
2009-07-12 21:00:00,0.371,6.07,-1.24,6.2,101.54
2009-07-12 22:00:00,0.28600000000000003,4.95,-1.6,5.2,107.95
2009-07-12 23:00:00,0.175,3.69,-2.06,4.23,119.23
2009-07-13 00:00:00,0.105,2.74,-2.33,3.6,130.32
2009-07-13 01:00:00,0.07,2.62,-2.18,3.41,129.77
2009-07-13 02:00:00,0.135,2.4,-2.03,3.14,130.28
2009-07-13 03:00:00,0.165,2.43,-1.82,3.04,126.78
2009-07-13 04:00:00,0.23600000000000002,2.65,-1.58,3.09,120.74
2009-07-13 05:00:00,0.306,2.9,-1.35,3.2,114.97
2009-07-13 06:00:00,0.336,3.03,-1.2,3.26,111.57
2009-07-13 07:00:00,0.29600000000000004,2.94,-1.14,3.15,111.19
2009-07-13 08:00:00,0.23600000000000002,2.86,-1.1,3.07,111.11
2009-07-13 09:00:00,0.201,3.09,-0.99,3.24,107.79
2009-07-13 10:00:00,0.29100000000000004,3.8,-0.75,3.87,101.14
2009-07-13 11:00:00,0.321,4.75,-0.56,4.78,96.67
2009-07-13 12:00:00,0.29100000000000004,5.58,-0.64,5.62,96.55
2009-07-13 13:00:00,0.326,6.27,-2.31,6.68,110.25
2009-07-13 14:00:00,0.486,6.71,-3.18,7.42,115.36
2009-07-13 15:00:00,0.451,6.87,-3.6,7.76,117.65
2009-07-13 16:00:00,0.5760000000000001,6.84,-3.7,7.78,118.44
2009-07-13 17:00:00,0.667,6.8,-3.73,7.76,118.71
2009-07-13 18:00:00,0.7120000000000001,6.97,-3.92,8.0,119.36
2009-07-13 19:00:00,0.787,7.43,-4.42,8.65,120.76
2009-07-13 20:00:00,0.8270000000000001,7.77,-4.88,9.17,122.14
2009-07-13 21:00:00,0.847,7.44,-4.82,8.86,122.92
2009-07-13 22:00:00,0.672,6.12,-3.93,7.28,122.68
2009-07-13 23:00:00,0.511,4.39,-2.61,5.11,120.74
2009-07-14 00:00:00,0.331,3.03,-1.43,3.35,115.23
2009-07-14 01:00:00,0.18,4.11,-1.41,4.34,108.95
2009-07-14 02:00:00,0.221,3.5,-1.01,3.65,106.13
2009-07-14 03:00:00,0.281,3.15,-0.71,3.23,102.74
2009-07-14 04:00:00,0.371,2.99,-0.51,3.03,99.64
2009-07-14 05:00:00,0.47600000000000003,2.91,-0.4,2.94,97.89
2009-07-14 06:00:00,0.41600000000000004,2.81,-0.4,2.84,98.2
2009-07-14 07:00:00,0.401,2.62,-0.51,2.67,101.05
2009-07-14 08:00:00,0.28600000000000003,2.45,-0.69,2.55,105.81
2009-07-14 09:00:00,0.221,2.47,-0.92,2.63,110.44
2009-07-14 10:00:00,0.19,2.75,-1.17,2.99,113.0
2009-07-14 11:00:00,0.316,3.15,-1.5,3.49,115.52
2009-07-14 12:00:00,0.21100000000000002,3.43,-2.0,3.97,120.33
2009-07-14 13:00:00,0.17,2.91,-3.48,4.54,140.06
2009-07-14 14:00:00,0.185,3.17,-3.72,4.89,139.49
2009-07-14 15:00:00,0.18,3.55,-3.88,5.26,137.53
2009-07-14 16:00:00,0.175,3.97,-3.96,5.61,134.98
2009-07-14 17:00:00,0.21100000000000002,4.33,-3.95,5.86,132.36
2009-07-14 18:00:00,0.276,4.55,-3.82,5.94,129.97
2009-07-14 19:00:00,0.24600000000000002,4.56,-3.56,5.78,127.98
2009-07-14 20:00:00,0.231,4.32,-3.2,5.37,126.56
2009-07-14 21:00:00,0.23600000000000002,3.8,-2.77,4.7,126.07
2009-07-14 22:00:00,0.231,3.04,-2.29,3.81,126.92
2009-07-14 23:00:00,0.21100000000000002,2.32,-1.78,2.93,127.56
2009-07-15 00:00:00,0.145,1.96,-1.28,2.34,123.25
2009-07-15 01:00:00,0.075,3.24,-1.41,3.53,113.56
2009-07-15 02:00:00,0.065,3.34,-0.87,3.46,104.61
2009-07-15 03:00:00,0.04,3.28,-0.27,3.29,94.7
2009-07-15 04:00:00,0.05,3.09,0.35,3.11,83.45
2009-07-15 05:00:00,0.065,2.85,0.95,3.0,71.62
2009-07-15 06:00:00,0.08,2.63,1.45,3.0,61.11
2009-07-15 07:00:00,0.04,2.48,1.82,3.07,53.65
2009-07-15 08:00:00,0.06,2.4,2.09,3.19,48.97
2009-07-15 09:00:00,0.135,2.39,2.3,3.32,46.19
2009-07-15 10:00:00,0.115,2.42,2.48,3.47,44.25
2009-07-15 11:00:00,0.12,2.36,2.7,3.59,41.14
2009-07-15 12:00:00,0.1,2.08,3.0,3.65,34.67
2009-07-15 13:00:00,0.09,1.35,3.63,3.87,20.35
2009-07-15 14:00:00,0.04,0.88,4.13,4.22,12.07
2009-07-15 15:00:00,0.135,0.69,4.62,4.67,8.56
2009-07-15 16:00:00,0.21600000000000003,0.7,5.06,5.11,7.84
2009-07-15 17:00:00,0.226,0.76,5.4,5.45,8.07
2009-07-15 18:00:00,0.21100000000000002,0.77,5.57,5.62,7.84
2009-07-15 19:00:00,0.201,0.62,5.53,5.57,6.36
2009-07-15 20:00:00,0.306,0.42,5.32,5.34,4.48
2009-07-15 21:00:00,0.271,0.32,4.99,5.0,3.66
2009-07-15 22:00:00,0.316,0.43,4.59,4.61,5.34
2009-07-15 23:00:00,0.371,0.68,4.2,4.25,9.16
2009-07-16 00:00:00,0.331,0.95,3.87,3.99,13.74
2009-07-16 01:00:00,0.366,0.53,4.63,4.66,6.5
2009-07-16 02:00:00,0.366,0.66,4.3,4.35,8.68
2009-07-16 03:00:00,0.366,1.12,3.81,3.97,16.34
2009-07-16 04:00:00,0.406,1.78,3.18,3.65,29.27
2009-07-16 05:00:00,0.35600000000000004,2.51,2.51,3.55,44.98
2009-07-16 06:00:00,0.281,3.13,1.87,3.65,59.21
2009-07-16 07:00:00,0.326,3.53,1.29,3.76,69.88
2009-07-16 08:00:00,0.47100000000000003,3.75,0.72,3.82,79.15
2009-07-16 09:00:00,0.431,3.88,0.04,3.88,89.41
2009-07-16 10:00:00,0.165,4.01,-0.79,4.09,101.19
2009-07-16 11:00:00,0.256,4.16,-1.62,4.46,111.29
2009-07-16 12:00:00,0.261,4.35,-2.23,4.89,117.15
2009-07-16 13:00:00,0.17,4.38,-2.87,5.24,123.25
2009-07-16 14:00:00,0.115,4.63,-2.83,5.43,121.47
2009-07-16 15:00:00,0.145,5.15,-2.46,5.71,115.55
2009-07-16 16:00:00,0.145,5.78,-1.88,6.08,107.99
2009-07-16 17:00:00,0.165,6.3,-1.21,6.41,100.87
2009-07-16 18:00:00,0.201,6.47,-0.6,6.5,95.26
2009-07-16 19:00:00,0.261,6.13,-0.15,6.13,91.42
2009-07-16 20:00:00,0.20600000000000002,5.37,0.09,5.37,89.08
2009-07-16 21:00:00,0.251,4.35,0.1,4.35,88.68
2009-07-16 22:00:00,0.256,3.23,-0.11,3.23,92.0
2009-07-16 23:00:00,0.391,2.22,-0.49,2.27,102.51
2009-07-17 00:00:00,0.24100000000000002,1.5,-0.97,1.79,122.7
2009-07-17 01:00:00,0.15,2.39,-1.19,2.67,116.53
2009-07-17 02:00:00,0.135,1.9,-1.47,2.4,127.63
2009-07-17 03:00:00,0.145,1.33,-1.78,2.22,143.38
2009-07-17 04:00:00,0.20600000000000002,0.73,-2.04,2.16,160.33
2009-07-17 05:00:00,0.135,0.21,-2.05,2.06,174.19
2009-07-17 06:00:00,0.02,-0.13,-1.63,1.63,184.47
2009-07-17 07:00:00,0.0,-0.21,-0.67,0.7,197.32
2009-07-17 08:00:00,0.0,-0.11,0.6,0.61,350.01
2009-07-17 09:00:00,0.0,0.07,1.86,1.87,2.22
2009-07-17 10:00:00,0.0,0.25,2.85,2.86,4.99
2009-07-17 11:00:00,0.03,0.46,3.48,3.51,7.51
2009-07-17 12:00:00,0.02,0.77,3.72,3.8,11.63
2009-07-17 13:00:00,0.035,2.64,2.5,3.64,46.57
2009-07-17 14:00:00,0.065,3.47,2.2,4.11,57.59
2009-07-17 15:00:00,0.045,3.78,1.99,4.27,62.24
2009-07-17 16:00:00,0.06,3.68,1.81,4.11,63.79
2009-07-17 17:00:00,0.08,3.29,1.64,3.67,63.55
2009-07-17 18:00:00,0.15,2.7,1.42,3.05,62.2
2009-07-17 19:00:00,0.13,2.01,1.12,2.3,60.94
2009-07-17 20:00:00,0.04,1.35,0.6,1.48,65.91
